거래처,구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
세진가스텍(매크로드)구.태경,잔액,213383.0,355637.0,284508.0,426762.0,713508.0,500500.0,143000.0,143000,0.0,0.0,0.0,0.0
세진가스텍(명성중공업),이월,2835882.0,3491469.0,2787274.0,3220795.0,3111061.0,2577764.0,3212242.0,2246772,0.0,0.0,0.0,0.0
세진가스텍(명성중공업),매출,1945247.0,842028.0,2378767.0,732294.0,1845470.0,1366772.0,880000.0,1436204,0.0,0.0,0.0,0.0
세진가스텍(명성중공업),수금,1289660.0,1546223.0,1945245.0,842028.0,2378767.0,732294.0,1845470.0,0,0.0,0.0,0.0,0.0
세진가스텍(명성중공업),잔액,3491469.0,2787274.0,3220795.0,3111061.0,2577764.0,3212242.0,2246772.0,3682976,0.0,0.0,0.0,0.0
세진가스텍(성호에스엔비),이월,103934.0,41574.0,1.0,0.0,0.0,0.0,-20787.0,-20787,0.0,0.0,0.0,0.0
세진가스텍(성호에스엔비),매출,0.0,0.0,0.0,0.0,0.0,-20787.0,0.0,0,0.0,0.0,0.0,0.0
세진가스텍(성호에스엔비),수금,62360.0,41573.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
세진가스텍(성호에스엔비),잔액,41574.0,1.0,0.0,0.0,0.0,-20787.0,-20787.0,-20787,0.0,0.0,0.0,0.0
세진가스텍(세양H&S),이월,2406120.0,2493230.0,2383690.0,2433839.0,2691196.0,2556816.0,2365880.0,2529560,0.0,0.0,0.0,0.0
세진가스텍(세양H&S),매출,1315350.0,1068339.0,1365500.0,1325696.0,1231120.0,1134760.0,1394800.0,980650,0.0,0.0,0.0,0.0
세진가스텍(세양H&S),수금,1228240.0,1177879.0,1315351.0,1068339.0,1365500.0,1325696.0,1231120.0,0,0.0,0.0,0.0,0.0
세진가스텍(세양H&S),잔액,2493230.0,2383690.0,2433839.0,2691196.0,2556816.0,2365880.0,2529560.0,3510210,0.0,0.0,0.0,0.0
세진가스텍(세종기공),이월,262200.0,234300.0,292875.0,395301.0,512451.0,373450.0,140140.0,180180,0.0,0.0,0.0,0.0
세진가스텍(세종기공),매출,136675.0,156200.0,239100.0,273350.0,100100.0,40040.0,140140.0,40040,0.0,0.0,0.0,0.0
세진가스텍(세종기공),수금,164575.0,97625.0,136675.0,156200.0,239101.0,273350.0,100100.0,0,0.0,0.0,0.0,0.0
세진가스텍(세종기공),잔액,234300.0,292875.0,395301.0,512451.0,373450.0,140140.0,180180.0,220220,0.0,0.0,0.0,0.0
승우산업,이월,2578015.0,2205500.0,2848285.0,3122334.0,2205500.0,2982980.0,2205500.0,4736160,0.0,0.0,0.0,0.0
승우산업,매출,2205500.0,2848285.0,3122334.0,2205500.0,2982980.0,2205500.0,2530660.0,1554559,0.0,0.0,0.0,0.0
승우산업,수금,2578015.0,2205500.0,2848285.0,3122334.0,2205500.0,2982980.0,0.0,2205500,0.0,0.0,0.0,0.0
승우산업,잔액,2205500.0,2848285.0,3122334.0,2205500.0,2982980.0,2205500.0,4736160.0,4085218,0.0,0.0,0.0,0.0
신비오켐,이월,3263117.0,3599497.0,2400090.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
신비오켐,매출,3599497.0,2400090.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
신비오켐,수금,3263117.0,3599497.0,2400090.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
신비오켐,잔액,3599497.0,2400090.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
신아기계,이월,124300.0,290400.0,269500.0,76230.0,425480.0,134310.0,1165230.0,1013540,0.0,0.0,0.0,0.0
신아기계,매출,290400.0,269500.0,76230.0,425480.0,134310.0,1165230.0,1013540.0,93500,0.0,0.0,0.0,0.0
신아기계,수금,124300.0,290400.0,269500.0,76230.0,425480.0,134310.0,1165230.0,0,0.0,0.0,0.0,0.0
신아기계,잔액,290400.0,269500.0,76230.0,425480.0,134310.0,1165230.0,1013540.0,1107040,0.0,0.0,0.0,0.0
씨에스가스텍,이월,16377823.0,8955540.0,16206520.0,14103820.0,16461060.0,11333740.0,15223010.0,19777450,0.0,0.0,0.0,0.0
씨에스가스텍,매출,8955540.0,16206520.0,9103820.0,16461060.0,11333740.0,15223010.0,19777450.0,14562240,0.0,0.0,0.0,0.0
씨에스가스텍,수금,16377823.0,8955540.0,11206520.0,14103820.0,16461060.0,11333740.0,15223010.0,0,0.0,0.0,0.0,0.0
씨에스가스텍,잔액,8955540.0,16206520.0,14103820.0,16461060.0,11333740.0,15223010.0,19777450.0,34339690,0.0,0.0,0.0,0.0
아이스푸드앤바인(구.바인컴퍼니),이월,60053840.0,46570480.0,47554540.0,82521780.0,126173300.0,160729382.0,169648292.0,241989550,0.0,0.0,0.0,0.0
아이스푸드앤바인(구.바인컴퍼니),매출,46570480.0,47554540.0,82521780.0,126173300.0,160729382.0,169648292.0,241989550.0,283160625,0.0,0.0,0.0,0.0
아이스푸드앤바인(구.바인컴퍼니),수금,60053840.0,46570480.0,47554540.0,82521780.0,126173300.0,160729382.0,169648292.0,241989550,0.0,0.0,0.0,0.0
아이스푸드앤바인(구.바인컴퍼니),잔액,46570480.0,47554540.0,82521780.0,126173300.0,160729382.0,169648292.0,241989550.0,283160625,0.0,0.0,0.0,0.0
에니스,이월,87641642.0,52704575.0,40249638.0,46854247.0,88445456.0,82753176.0,98530300.0,145227225,0.0,0.0,0.0,0.0
에니스,매출,52704575.0,40249638.0,46854247.0,88445456.0,82753176.0,98530300.0,145227225.0,96904225,0.0,0.0,0.0,0.0
에니스,수금,87641642.0,52704575.0,40249638.0,46854247.0,88445456.0,82753176.0,98530300.0,0,0.0,0.0,0.0,0.0
에니스,잔액,52704575.0,40249638.0,46854247.0,88445456.0,82753176.0,98530300.0,145227225.0,242131450,0.0,0.0,0.0,0.0
에스앤디 주식회사,이월,2337500.0,1187450.0,1169905.0,0.0,0.0,0.0,0.0,9919305,0.0,0.0,0.0,0.0
에스앤디 주식회사,매출,1187450.0,1169905.0,0.0,0.0,0.0,0.0,9919305.0,0,0.0,0.0,0.0,0.0
에스앤디 주식회사,수금,2337500.0,1187450.0,1169905.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
에스앤디 주식회사,잔액,1187450.0,1169905.0,0.0,0.0,0.0,0.0,9919305.0,9919305,0.0,0.0,0.0,0.0
